household_id,person_weight,log_salary,any_home_internet,digital_access_score,education_band,matric_plus,age_centred,age_centred_squared,female,population_group,province,settlement_type
163100220000014601,1784.94926376,8.27614021955846,1,3,Some secondary,0,-12,144,1,Black African,Western Cape,Non-metro urban
163100220000017301,1345.04380056,8.567315800819449,1,2,Some secondary,0,1,1,0,Coloured,Western Cape,Non-metro urban
163100220000017301,1345.04380056,8.27614021955846,1,2,Matric,1,-16,256,1,Coloured,Western Cape,Non-metro urban
163100220000017301,1345.04380056,8.27614021955846,1,2,Some secondary,0,-20,400,0,Coloured,Western Cape,Non-metro urban
163100220000020001,623.147883134,6.684611727667927,0,0,Primary (Grade R-7),0,17,289,0,Coloured,Western Cape,Non-metro urban
163100940000001701,1067.62365739,8.567315800819449,1,2,Matric,1,-9,81,0,Coloured,Western Cape,Non-metro urban
163100940000001701,1067.62365739,8.847647355711887,1,2,Some secondary,0,-9,81,1,Coloured,Western Cape,Non-metro urban
163100940000003401,1103.31376233,8.27614021955846,1,2,Some secondary,0,-9,81,0,Coloured,Western Cape,Non-metro urban
163100940000003401,1103.31376233,8.27614021955846,1,2,Some secondary,0,-8,64,0,Coloured,Western Cape,Non-metro urban
163100940000006801,1164.25248258,8.567315800819449,1,2,Some secondary,0,-15,225,0,Coloured,Western Cape,Non-metro urban
163100940000010201,1172.58930704,9.49942146534167,1,3,Matric,1,8,64,1,Coloured,Western Cape,Non-metro urban
163100940000010201,1172.58930704,9.49942146534167,1,3,Matric,1,-12,144,0,Coloured,Western Cape,Non-metro urban
163100940000010201,1172.58930704,8.567315800819449,1,3,Matric,1,-14,196,0,Coloured,Western Cape,Non-metro urban
163101070000003301,1823.00134694,8.699514748210191,1,2,Some secondary,0,11,121,0,White,Western Cape,Non-metro urban
163101070000003301,1823.00134694,10.23995978915734,1,2,Some secondary,0,9,81,0,White,Western Cape,Non-metro urban
163101070000003301,1823.00134694,8.517193191416238,1,2,Matric,1,-1,1,1,White,Western Cape,Non-metro urban
163101070000005401,1085.56184964,8.160518247477505,1,3,Degree,1,-6,36,1,White,Western Cape,Non-metro urban
163101070000005401,1085.56184964,9.95227771670556,1,3,Some secondary,0,-5,25,0,White,Western Cape,Non-metro urban
163101070000011701,1218.72950732,9.392661928770137,1,4,Matric,1,-2,4,0,White,Western Cape,Non-metro urban
163101070000011701,1218.72950732,9.798127036878302,1,4,Matric,1,-7,49,1,White,Western Cape,Non-metro urban
163101550000002501,1681.58303905,9.156412029950626,1,2,Some secondary,0,1,1,0,Black African,Western Cape,Non-metro urban
163101550000002501,1681.58303905,8.27614021955846,1,2,Matric,1,-16,256,1,Black African,Western Cape,Non-metro urban
163101550000010001,1015.75624247,8.567315800819449,1,2,Some secondary,0,9,81,0,Black African,Western Cape,Non-metro urban
163101550000012501,1222.78487939,8.567315800819449,1,2,Some secondary,0,-9,81,0,Coloured,Western Cape,Non-metro urban
163101550000017501,1408.68554955,8.005367067316664,1,2,Matric,1,-10,100,1,Coloured,Western Cape,Non-metro urban
163101550000022501,1037.23692101,8.567315800819449,1,2,Primary (Grade R-7),0,-16,256,0,Black African,Western Cape,Non-metro urban
163102320000001701,1004.19466817,9.740968623038354,1,3,Post-school certificate/diploma,1,19,361,0,Coloured,Western Cape,Non-metro urban
163102320000001701,1004.19466817,8.556413904569519,1,3,Matric,1,-11,121,0,Coloured,Western Cape,Non-metro urban
163102350000002401,1286.56942442,8.567315800819449,1,2,Matric,1,-11,121,1,Black African,Western Cape,Non-metro urban
163102350000011101,1076.86399085,7.60489448081162,1,2,Primary (Grade R-7),0,23,529,1,Coloured,Western Cape,Non-metro urban
163102350000011101,1076.86399085,7.130098510125578,1,2,Some secondary,0,-3,9,0,Coloured,Western Cape,Non-metro urban
163102850000000401,686.689212065,8.567315800819449,1,3,Primary (Grade R-7),0,23,529,0,Coloured,Western Cape,Non-metro urban
163102850000001101,1269.15557248,10.41711923563258,1,4,Post-school certificate/diploma,1,13,169,0,White,Western Cape,Non-metro urban
163102850000001101,1269.15557248,9.97966124675897,1,4,Post-school certificate/diploma,1,11,121,1,White,Western Cape,Non-metro urban
163102850000001101,1269.15557248,8.567315800819449,1,4,Post-school certificate/diploma,1,-16,256,1,White,Western Cape,Non-metro urban
164100490000004401,646.853086171,8.567315800819449,1,2,Matric,1,-6,36,0,Coloured,Western Cape,Non-metro urban
164100490000006801,684.598529849,9.156412029950626,1,2,Matric,1,14,196,1,Coloured,Western Cape,Non-metro urban
164100490000006801,684.598529849,8.27614021955846,1,2,Degree,1,-16,256,1,Coloured,Western Cape,Non-metro urban
164100570000000101,1045.66249009,10.41711923563258,1,3,Degree,1,-3,9,0,Coloured,Western Cape,Non-metro urban
164100570000001901,815.339942991,9.49942146534167,1,2,Some secondary,0,13,169,0,Coloured,Western Cape,Non-metro urban
164100570000001901,815.339942991,9.49942146534167,1,2,Matric,1,8,64,1,Coloured,Western Cape,Non-metro urban
164100570000003701,781.196950575,7.130098510125578,1,2,Post-school certificate/diploma,1,21,441,0,Coloured,Western Cape,Non-metro urban
164100570000003701,781.196950575,7.60489448081162,1,2,Post-school certificate/diploma,1,23,529,1,Coloured,Western Cape,Non-metro urban
164100570000003701,781.196950575,8.847647355711887,1,2,Matric,1,-3,9,1,Coloured,Western Cape,Non-metro urban
164100570000005501,1184.28892774,9.156412029950626,1,3,Some secondary,0,20,400,0,Coloured,Western Cape,Non-metro urban
164100570000005501,1184.28892774,9.156412029950626,1,3,Matric,1,-9,81,1,Coloured,Western Cape,Non-metro urban
164100570000005501,1184.28892774,8.847647355711887,1,3,Matric,1,-20,400,1,Coloured,Western Cape,Non-metro urban
164100570000007301,1124.72287284,9.97966124675897,1,3,Matric,1,-1,1,0,Coloured,Western Cape,Non-metro urban
164100570000007301,1124.72287284,9.97966124675897,1,3,Degree,1,-8,64,1,Coloured,Western Cape,Non-metro urban
164100570000009101,1395.81113609,8.567315800819449,1,2,Some secondary,0,-3,9,0,Coloured,Western Cape,Non-metro urban
164100570000009101,1395.81113609,9.49942146534167,1,2,Matric,1,-6,36,1,Coloured,Western Cape,Non-metro urban
164100570000012701,666.228329452,9.97966124675897,1,4,Matric,1,-6,36,0,Coloured,Western Cape,Non-metro urban
164101180000003901,377.131901814,10.238565961087293,1,4,Post-school certificate/diploma,1,24,576,1,Coloured,Western Cape,Non-metro urban
164101180000005101,756.556329695,8.987196820661973,1,3,Degree,1,-3,9,1,White,Western Cape,Non-metro urban
164101180000006301,1910.26900139,10.698446459242652,1,3,Degree,1,-6,36,0,Black African,Western Cape,Non-metro urban
164101180000006301,1910.26900139,8.294049640102028,1,3,Matric,1,-3,9,1,Black African,Western Cape,Non-metro urban
164101180000006301,1910.26900139,9.97966124675897,1,3,Degree,1,-13,169,1,Black African,Western Cape,Non-metro urban
164101180000007501,557.872047463,8.005367067316664,1,4,Post-school certificate/diploma,1,12,144,1,Coloured,Western Cape,Non-metro urban
164101280000015101,695.232120512,9.615805480084347,1,3,Degree,1,19,361,0,White,Western Cape,Non-metro urban
164101280000021301,695.232120512,9.210340371976184,0,2,Degree,1,17,289,0,White,Western Cape,Non-metro urban
164101600000000801,1320.46611805,7.130098510125578,1,3,Matric,1,-7,49,0,Coloured,Western Cape,Non-metro urban
164101600000000801,1320.46611805,5.886104031450156,1,3,Matric,1,-10,100,1,Coloured,Western Cape,Non-metro urban
164101600000002501,1230.0789329,10.97084994319928,1,3,Matric,1,-9,81,0,Coloured,Western Cape,Non-metro urban
164101600000002501,1230.0789329,9.97966124675897,1,3,Post-school certificate/diploma,1,-9,81,1,Coloured,Western Cape,Non-metro urban
164101600000004201,1128.98860466,10.41711923563258,1,3,Matric,1,-2,4,0,Coloured,Western Cape,Non-metro urban
164101600000011001,1335.62262669,9.97966124675897,1,3,Degree,1,-6,36,1,Coloured,Western Cape,Non-metro urban
164101600000011001,1335.62262669,7.090076835776092,1,3,Degree,1,-9,81,1,Coloured,Western Cape,Non-metro urban
164101600000011001,1335.62262669,9.156412029950626,1,3,Matric,1,-12,144,0,Coloured,Western Cape,Non-metro urban
165100330000003601,1034.56362976,8.847647355711887,1,3,Matric,1,0,0,1,Black African,Western Cape,Non-metro urban
165100330000007601,1175.44001914,7.60489448081162,1,2,Some secondary,0,1,1,0,Black African,Western Cape,Non-metro urban
165100330000015601,1107.58659092,9.97966124675897,1,3,Some secondary,0,12,144,0,Black African,Western Cape,Non-metro urban
165100330000019601,632.707442303,9.156412029950626,1,2,Some secondary,0,16,256,1,Black African,Western Cape,Non-metro urban
