household_id,person_weight,employed,age_centred,age_centred_squared,female,population_group,province,settlement_type,education_band,matric_plus,has_fixed_internet,has_mobile_internet,has_computer,any_home_internet,digital_access_score,smartphone_access,edu_digital_group,household_size,n_children_under15,elderly_in_household,dependency_ratio,female_x_children,other_member_matric
162100390000007901,1118.43990504,Employed,-10,100,0,Coloured,Western Cape,Non-metro urban,Matric,1,1,1,0,1,3,Fewer than 1 per member,"Matric+, internet",8,3,0,0.6,0,Yes
162100390000007901,1118.43990504,Unemployed,-14,196,1,Coloured,Western Cape,Non-metro urban,Some secondary,0,1,1,0,1,3,Fewer than 1 per member,"Below matric, internet",8,3,0,0.6,3,Yes
162100390000010901,1786.57163464,Employed,0,0,0,Coloured,Western Cape,Non-metro urban,Some secondary,0,0,1,0,1,2,Fewer than 1 per member,"Below matric, internet",6,1,0,0.2,0,Yes
162100390000010901,1786.57163464,Employed,-4,16,0,Coloured,Western Cape,Non-metro urban,Some secondary,0,0,1,0,1,2,Fewer than 1 per member,"Below matric, internet",6,1,0,0.2,0,Yes
162100390000010901,1786.57163464,Employed,-16,256,0,Coloured,Western Cape,Non-metro urban,Matric,1,0,1,0,1,2,Fewer than 1 per member,"Matric+, internet",6,1,0,0.2,0,No
162100390000013901,817.944810717,Employed,15,225,0,Coloured,Western Cape,Non-metro urban,Some secondary,0,1,0,0,1,2,Fewer than 1 per member,"Below matric, internet",5,1,0,0.25,0,Yes
162100390000013901,817.944810717,Employed,-10,100,1,Coloured,Western Cape,Non-metro urban,Matric,1,1,0,0,1,2,Fewer than 1 per member,"Matric+, internet",5,1,0,0.25,1,No
162100390000016901,1011.38443569,Employed,-8,64,0,Black African,Western Cape,Non-metro urban,Primary (Grade R-7),0,0,1,0,1,2,1 or more per member,"Below matric, internet",1,0,0,0,0,No other working-age member
162100450000000401,623.147883134,Unemployed,19,361,0,Coloured,Western Cape,Non-metro urban,Matric,1,0,1,0,1,1,None,"Matric+, internet",1,0,0,0,0,No other working-age member
162100450000002201,655.167880591,Employed,8,64,1,Coloured,Western Cape,Non-metro urban,Degree,1,1,1,0,1,2,None,"Matric+, internet",2,0,1,1,0,No other working-age member
