household_id,person_number,psu,province_code,sex_code,age,population_group_code,geo_type_code,metro_indicator,person_weight,household_id_flag,age_flag,province,sex,population_group,geo_type,metro
162100390000004901,06,16210039000,1,1,17,2,1,2,1856.27220289,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
162100390000007901,01,16210039000,1,2,61,2,1,2,1118.43990504,NA,NA,Western Cape,Female,Coloured,Urban,Non-metro
162100390000007901,02,16210039000,1,2,38,2,1,2,1118.43990504,NA,NA,Western Cape,Female,Coloured,Urban,Non-metro
162100390000007901,03,16210039000,1,1,30,2,1,2,1118.43990504,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
162100390000007901,04,16210039000,1,2,26,2,1,2,1118.43990504,NA,NA,Western Cape,Female,Coloured,Urban,Non-metro
162100390000007901,05,16210039000,1,2,17,2,1,2,1118.43990504,NA,NA,Western Cape,Female,Coloured,Urban,Non-metro
162100390000010901,01,16210039000,1,2,59,2,1,2,1786.57163464,NA,NA,Western Cape,Female,Coloured,Urban,Non-metro
162100390000010901,02,16210039000,1,2,28,2,1,2,1786.57163464,NA,NA,Western Cape,Female,Coloured,Urban,Non-metro
162100390000010901,03,16210039000,1,1,40,2,1,2,1786.57163464,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
162100390000010901,04,16210039000,1,1,36,2,1,2,1786.57163464,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
162100390000010901,05,16210039000,1,1,24,2,1,2,1786.57163464,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
162100390000013901,01,16210039000,1,1,55,2,1,2,817.944810717,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
162100390000013901,02,16210039000,1,2,63,2,1,2,817.944810717,NA,NA,Western Cape,Female,Coloured,Urban,Non-metro
162100390000013901,03,16210039000,1,2,30,2,1,2,817.944810717,NA,NA,Western Cape,Female,Coloured,Urban,Non-metro
162100390000013901,04,16210039000,1,1,15,2,1,2,817.944810717,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
162100390000016901,01,16210039000,1,1,32,1,1,2,1011.38443569,NA,NA,Western Cape,Male,Black African,Urban,Non-metro
162100450000000401,01,16210045000,1,1,59,2,1,2,623.147883134,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
162100450000002201,01,16210045000,1,2,48,2,1,2,655.167880591,NA,NA,Western Cape,Female,Coloured,Urban,Non-metro
162100450000004001,01,16210045000,1,1,35,2,1,2,945.782010973,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
162100450000004001,02,16210045000,1,2,37,2,1,2,945.782010973,NA,NA,Western Cape,Female,Coloured,Urban,Non-metro
162100450000009401,01,16210045000,1,2,38,2,1,2,1407.65141455,NA,NA,Western Cape,Female,Coloured,Urban,Non-metro
162100450000009401,02,16210045000,1,1,46,2,1,2,1407.65141455,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
162100450000009401,03,16210045000,1,1,27,2,1,2,1407.65141455,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
162100450000009401,04,16210045000,1,2,17,2,1,2,1407.65141455,NA,NA,Western Cape,Female,Coloured,Urban,Non-metro
162100450000011201,01,16210045000,1,1,59,2,1,2,840.384199807,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
162100450000011201,02,16210045000,1,2,54,2,1,2,840.384199807,NA,NA,Western Cape,Female,Coloured,Urban,Non-metro
162100450000011201,03,16210045000,1,1,29,2,1,2,840.384199807,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
162100450000011201,04,16210045000,1,2,23,2,1,2,840.384199807,NA,NA,Western Cape,Female,Coloured,Urban,Non-metro
162100450000014801,01,16210045000,1,1,31,2,1,2,711.558865387,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
162100580000003101,03,16210058000,1,2,62,4,1,2,1398.56485076,NA,NA,Western Cape,Female,White,Urban,Non-metro
162100580000003101,04,16210058000,1,1,61,4,1,2,1398.56485076,NA,NA,Western Cape,Male,White,Urban,Non-metro
162100580000003101,05,16210058000,1,2,60,4,1,2,1398.56485076,NA,NA,Western Cape,Female,White,Urban,Non-metro
162100580000018601,01,16210058000,1,1,58,4,1,2,816.636245067,NA,NA,Western Cape,Male,White,Urban,Non-metro
162100580000021701,01,16210058000,1,1,62,4,1,2,992.572579039,NA,NA,Western Cape,Male,White,Urban,Non-metro
162100580000021701,02,16210058000,1,2,64,4,1,2,992.572579039,NA,NA,Western Cape,Female,White,Urban,Non-metro
162100580000024801,01,16210058000,1,1,55,4,1,2,1401.2051882,NA,NA,Western Cape,Male,White,Urban,Non-metro
